message,subject,complaint_text,intent,category
Please make reaching customer support easy and accessible.I had to raise issue with my other number as no option was there to talk to customer support on this number,,Please make reaching customer support easy and accessible.I had to raise issue with my other number as no option was there to talk to customer support on this number,Refund Related Issues,REFUND_REQUEST
I want refund,,I want refund,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
nahi,,nahi,Refund Related Issues,REFUND_REQUEST
Please provide reginal Telugu speaking customer care executive,,Please provide reginal Telugu speaking customer care executive,Return request,REFUND_REQUEST
Nothing to improve,,Nothing to improve,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Service not good and frauds,,Service not good and frauds,Delayed,DELIVERY_SHIPPING_PROBLEM
Plz give my redemcode,,Plz give my redemcode,Product Specific Information,PRODUCT_ISSUE
Shopzilla  product nd Shopzilla service is too good,,Shopzilla product nd Shopzilla service is too good,Delayed,DELIVERY_SHIPPING_PROBLEM
strictly action delivery agent misbehavieour,,strictly action delivery agent misbehavieour,UnProfessional Behaviour,SERVICE_QUALITY
Thank you Shopzilla customer care agent Mr shivparasant sir thank very very much i am very very happy and Shopzilla customer care so good help Thanks Shopzilla customer team,,Thank you Shopzilla customer care agent Mr shivparasant sir thank very very much i am very very happy and Shopzilla customer care so good help Thanks Shopzilla customer team,Refund Enquiry,REFUND_REQUEST
Thanks ??,,Thanks ??,UnProfessional Behaviour,SERVICE_QUALITY
V good,,V good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Super ????,,Super ????,Refund Enquiry,REFUND_REQUEST
"I Experience my purchasing in Shopzilla. 1) I purchase socks its assurred by Shopzilla and seller after this product I receive see its tottaly different not as per image show by Shopzilla. I call to help desk and give feedback so they contact to seller after they agree and refund. Where my mistack?2) I Prchase preasure cooker combo its assured by Shopzilla and selling company (ISI Certified & QA Checked in company) after i receive this product checks one cooker is inside metal one spot available. I initiate replace this product its come after checks one cooker many of scratches lines and water boiling marks available. After i initiate refund request. this Product all mistacks by made seller and Shopzilla both are Involve. WHERE MY MISTACKS ?3) I place  again new order only one preassure cooker different company not above order company same above schenario its assured by Shopzilla and selling company (ISI Certified & QA Checked in company) after i receive this product checks this cooker outer lid innerside one crack present. So i initiate refund request. WHERE MY MISTACK ?4)  I place one raincoat order i check all image, size , and review After i place order. Product receive I surprise because its only 10cm\u00D710cm pouch. I tottaly socked what i order and what i receive tottaly different product. I immigiate call to help desk give my hourable purchasing exeperience And give all feedback so after they agree and refund initiate.Where my Mistack?5) I order Lizol Harpic mention in Shopzilla  image , review and not returnable  product.this all are ok But product i receive yesterday its tottaly different mention in image.Image mention in BLUE COLOUR 5 LITER BOTTELE AND ITS PRODUCT FRONT PRINTED STICKER LIZOLE HARPIC...RECEIVE PRODUCT IN WHITE COLOUR BOTTELE 5 LITER AND PRINTED STICKER LIZOLE HATPIC ... NOT MATCH IN Shopzilla SELLING IMAGE.SO where my mistack ?Customer pay full money but receive defective product, different product,many of mistack do seller and Shopzilla but Shopzilla not punish seller they only punish customer why? I place yesterday new order but Shopzilla give me one hide message if you return this product cut every product 50 rupees in your return.I inquery today help desk they give me feed back seller is punish you because your order is   return. I give all above mention issue help desk they agree and my feedback not down and send to higher authority.      I give one message to Shopzilla all mistackes do seller AND  Shopzilla why you punish customer first check your side product in your warehouse and after send to customer. You do not job your job .      Do not thank u please.... Resolve my punishable issue...",,"I Experience my purchasing in Shopzilla. 1) I purchase socks its assurred by Shopzilla and seller after this product I receive see its tottaly different not as per image show by Shopzilla. I call to help desk and give feedback so they contact to seller after they agree and refund. Where my mistack?2) I Prchase preasure cooker combo its assured by Shopzilla and selling company (ISI Certified & QA Checked in company) after i receive this product checks one cooker is inside metal one spot available. I initiate replace this product its come after checks one cooker many of scratches lines and water boiling marks available. After i initiate refund request. this Product all mistacks by made seller and Shopzilla both are Involve. WHERE MY MISTACKS ?3) I place again new order only one preassure cooker different company not above order company same above schenario its assured by Shopzilla and selling company (ISI Certified & QA Checked in company) after i receive this product checks this cooker outer lid innerside one crack present. So i initiate refund request. WHERE MY MISTACK ?4) I place one raincoat order i check all image, size , and review After i place order. Product receive I surprise because its only 10cm\u00D710cm pouch. I tottaly socked what i order and what i receive tottaly different product. I immigiate call to help desk give my hourable purchasing exeperience And give all feedback so after they agree and refund initiate.Where my Mistack?5) I order Lizol Harpic mention in Shopzilla image , review and not returnable product.this all are ok But product i receive yesterday its tottaly different mention in image.Image mention in BLUE COLOUR 5 LITER BOTTELE AND ITS PRODUCT FRONT PRINTED STICKER LIZOLE HARPIC...RECEIVE PRODUCT IN WHITE COLOUR BOTTELE 5 LITER AND PRINTED STICKER LIZOLE HATPIC ... NOT MATCH IN Shopzilla SELLING IMAGE.SO where my mistack ?Customer pay full money but receive defective product, different product,many of mistack do seller and Shopzilla but Shopzilla not punish seller they only punish customer why? I place yesterday new order but Shopzilla give me one hide message if you return this product cut every product 50 rupees in your return.I inquery today help desk they give me feed back seller is punish you because your order is return. I give all above mention issue help desk they agree and my feedback not down and send to higher authority. I give one message to Shopzilla all mistackes do seller AND Shopzilla why you punish customer first check your side product in your warehouse and after send to customer. You do not job your job . Do not thank u please.... Resolve my punishable issue...",Product Specific Information,PRODUCT_ISSUE
Return or refund p[policy should be more trust worthy and transparent which is best police of net marketing business,,Return or refund p[policy should be more trust worthy and transparent which is best police of net marketing business,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good ??,,Good ??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
good behaviour,,good behaviour,General Enquiry,OTHER
Shopzilla is good but worker is not all good,,Shopzilla is good but worker is not all good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am happy with customer executive,,I am happy with customer executive,Wrong,PRODUCT_ISSUE
Na,,Na,Return request,REFUND_REQUEST
Fast customer service,,Fast customer service,Return request,REFUND_REQUEST
Thanks,,Thanks,Missing,PRODUCT_ISSUE
4,,4,Wrong,PRODUCT_ISSUE
SuperBuy is far better in delivering things,,SuperBuy is far better in delivering things,Delayed,DELIVERY_SHIPPING_PROBLEM
Mam ne bahut   aur meri problem   se solve Kiya           Allah Ta'ala Mam     tarkki de ??,,Mam ne bahut aur meri problem se solve Kiya Allah Ta'ala Mam tarkki de ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very Very Bad service.,,Very Very Bad service.,General Enquiry,OTHER
Very Nice Customer Care Executive & he solved my problem very well,,Very Nice Customer Care Executive & he solved my problem very well,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
Meea odar history delete kar ne ki kripa ki,,Meea odar history delete kar ne ki kripa ki,Product Specific Information,PRODUCT_ISSUE
Good...,,Good...,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nice help,,Nice help,Fraudulent User,SECURITY_CONCERN
I'm totally frustrated with Shopzilla and it's support team. Worst service ever.,,I'm totally frustrated with Shopzilla and it's support team. Worst service ever.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you for supporting me ???? please track fastly ??,,Thank you for supporting me ???? please track fastly ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very nice,,Very nice,Service Centres Related,SERVICE_QUALITY
Very goodMy help,,Very goodMy help,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Gud,,Gud,Wrong,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Great work,,Great work,Affiliate Offers,OTHER
teem,,teem,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Overall good,,Overall good,Invoice request,BILLING_PROBLEM
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Offer on axis bank credit card But discount done after my order so give me cash back or i have to cancel that order,,Offer on axis bank credit card But discount done after my order so give me cash back or i have to cancel that order,Product Specific Information,PRODUCT_ISSUE
Ok,,Ok,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am so happy,,I am so happy,Missing,PRODUCT_ISSUE
Need immediate return,,Need immediate return,Wrong,PRODUCT_ISSUE
Issue should be resolved timely,,Issue should be resolved timely,Installation/demo,PRODUCT_ISSUE
Issue with return request approval late,,Issue with return request approval late,Return request,REFUND_REQUEST
Atleast footwear align in return policy,,Atleast footwear align in return policy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Everything is good,,Everything is good,Fraudulent User,SECURITY_CONCERN
good,,good,General Enquiry,OTHER
know how to deal with the problem,,know how to deal with the problem,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please have open box delivery for no return items,,Please have open box delivery for no return items,Product Specific Information,PRODUCT_ISSUE
Good,,Good,Service Centres Related,SERVICE_QUALITY
Make refund policy easier,,Make refund policy easier,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very bad Shopzilla,,Very bad Shopzilla,Affiliate Offers,OTHER
Thank you,,Thank you,Invoice request,BILLING_PROBLEM
Resolve any issue more faster,,Resolve any issue more faster,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please make it easier to reach the delivery person,,Please make it easier to reach the delivery person,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Nothing,,Nothing,Fraudulent User,SECURITY_CONCERN
For customer support I am solve my problem to return item,,For customer support I am solve my problem to return item,Return request,REFUND_REQUEST
Delivery is not proper timing issue ??,,Delivery is not proper timing issue ??,Delayed,DELIVERY_SHIPPING_PROBLEM
My current order has delayed delivery by 2 days. There is a core issue with Shopzilla logistics team and they have been postponing the delivery of my order for God knows what reason. I need assurance from Shopzilla that this product is going to be delivered today,,My current order has delayed delivery by 2 days. There is a core issue with Shopzilla logistics team and they have been postponing the delivery of my order for God knows what reason. I need assurance from Shopzilla that this product is going to be delivered today,Delayed,DELIVERY_SHIPPING_PROBLEM
Not about this executive he was good. A call before that was kep on hold with the statement I will transfer it to manager for 7-8 min no resposne.. Poor service,,Not about this executive he was good. A call before that was kep on hold with the statement I will transfer it to manager for 7-8 min no resposne.. Poor service,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Very nice,,Very nice,Call disconnected,SERVICE_QUALITY
Provide good product,,Provide good product,Fraudulent User,SECURITY_CONCERN
Thank you for fastest delevery,,Thank you for fastest delevery,Not Needed,REFUND_REQUEST
Very bad services,,Very bad services,Service Centres Related,SERVICE_QUALITY
Very nice excellent. ......,,Very nice excellent. ......,Fraudulent User,SECURITY_CONCERN
Customer care service is not proper. Please enhance your service to resolve the issue of Customer on priority basis,,Customer care service is not proper. Please enhance your service to resolve the issue of Customer on priority basis,General Enquiry,OTHER
Sahi he,,Sahi he,Priority delivery,DELIVERY_SHIPPING_PROBLEM
Not sastify with service and answers,,Not sastify with service and answers,Wrong,PRODUCT_ISSUE
"I am not happy ,  by Shopzilla and dilevery arjent",,"I am not happy , by Shopzilla and dilevery arjent",UnProfessional Behaviour,SERVICE_QUALITY
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Service Centres Related,SERVICE_QUALITY
Customer care is  note support?my product women nightie is 2 months.not refund my money,,Customer care is note support?my product women nightie is 2 months.not refund my money,Refund Related Issues,REFUND_REQUEST
When in issue is not your predefined options then you should have an option to mention the reason in other option area.,,When in issue is not your predefined options then you should have an option to mention the reason in other option area.,Damaged,PRODUCT_ISSUE
"Staff understand my queries, and she is very supportive, and helpful",,"Staff understand my queries, and she is very supportive, and helpful",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
excellent experience,,excellent experience,Wrong,PRODUCT_ISSUE
Thank u so much sir,,Thank u so much sir,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
????,,????,Installation/demo,PRODUCT_ISSUE
Good customer care.,,Good customer care.,Return request,REFUND_REQUEST
Don't lose customer confidence,,Don't lose customer confidence,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Tqq sir very good helping,,Tqq sir very good helping,Fraudulent User,SECURITY_CONCERN
no solution yet,,no solution yet,Delayed,DELIVERY_SHIPPING_PROBLEM
Thank you so much sir,,Thank you so much sir,UnProfessional Behaviour,SERVICE_QUALITY
Good,,Good,Fraudulent User,SECURITY_CONCERN
"Try to check all items before delivering, I am facing problem 2nd time, hearing is very slow,   to disturb your valuable costumer",,"Try to check all items before delivering, I am facing problem 2nd time, hearing is very slow, to disturb your valuable costumer",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
everyone make fool from Shopzilla,,everyone make fool from Shopzilla,Technician Visit,PRODUCT_ISSUE
Very good,,Very good,Fraudulent User,SECURITY_CONCERN
thank you Shopzilla for your support,,thank you Shopzilla for your support,Service Centres Related,SERVICE_QUALITY
Ask them not to make us wait on hold for longer time,,Ask them not to make us wait on hold for longer time,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,UnProfessional Behaviour,SERVICE_QUALITY
Gud,,Gud,Wrong,PRODUCT_ISSUE
Good service,,Good service,Return request,REFUND_REQUEST
All are same non of customer support is supportive.,,All are same non of customer support is supportive.,Delayed,DELIVERY_SHIPPING_PROBLEM
Good madam,,Good madam,UnProfessional Behaviour,SERVICE_QUALITY
No amazing service,,No amazing service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Try to minimise to reach customer care,,Try to minimise to reach customer care,Return request,REFUND_REQUEST
Delivery boy helpless,,Delivery boy helpless,Delayed,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,General Enquiry,OTHER
This redchief shoe is not a good quality product. So I want to return the product and will order again a new one.So do needful.,,This redchief shoe is not a good quality product. So I want to return the product and will order again a new one.So do needful.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am not sure you packed and send me the different fish food by mistake or voluntary... but I don't have good fish.. so I need flowerhorn fish food...,,I am not sure you packed and send me the different fish food by mistake or voluntary... but I don't have good fish.. so I need flowerhorn fish food...,Return request,REFUND_REQUEST
Very good,,Very good,Wrong,PRODUCT_ISSUE
Thank you,,Thank you,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Delivery time is very long as compared to other online shops. in an urban city like   it should not take such long time,,Delivery time is very long as compared to other online shops. in an urban city like it should not take such long time,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good night,,Good night,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Delayed,DELIVERY_SHIPPING_PROBLEM
Order not delivered on date and time,,Order not delivered on date and time,Delayed,DELIVERY_SHIPPING_PROBLEM
Okay,,Okay,Online Payment Issues,PAYMENT_TRANSACTION_ISSUE
Good,,Good,Installation/demo,PRODUCT_ISSUE
Improve your Updated details and all service regarding issues,,Improve your Updated details and all service regarding issues,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good behavior,,Good behavior,Refund Enquiry,REFUND_REQUEST
Happy with call care,,Happy with call care,Damaged,PRODUCT_ISSUE
Very quick response by customer support executive. Please provide more information in application/website itself. Thanks Shopzilla! Be honest!! Keep growing ??,,Very quick response by customer support executive. Please provide more information in application/website itself. Thanks Shopzilla! Be honest!! Keep growing ??,Not Needed,REFUND_REQUEST
Order   ho,,Order ho,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Service Centres Related,SERVICE_QUALITY
We can easily contact customer care,,We can easily contact customer care,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Missing,PRODUCT_ISSUE
Please call me again,,Please call me again,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Bad feedback,,Bad feedback,Delayed,DELIVERY_SHIPPING_PROBLEM
Bad watch,,Bad watch,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,General Enquiry,OTHER
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
No one able to solve my problem in Shopzilla. Thanks Shopzilla,,No one able to solve my problem in Shopzilla. Thanks Shopzilla,Not Needed,REFUND_REQUEST
Good,,Good,Shopzila Premium Related,SUBSCRIPTION_ISSUE
Agent refused to raise complaint and kept on blaming its issue with seller but did not took initiate to check with seller,,Agent refused to raise complaint and kept on blaming its issue with seller but did not took initiate to check with seller,Refund Enquiry,REFUND_REQUEST
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Speaks much works late. As a customer we don't have that much patience. But yeah thankyou,,Speaks much works late. As a customer we don't have that much patience. But yeah thankyou,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very poor service may  call disconnect acceleration dex but not again agent.....,,Very poor service may call disconnect acceleration dex but not again agent.....,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Return shall be easy,,Return shall be easy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Mam mera product delivered nahi hua 17ko hona tha abhi tk nahi hua,,Mam mera product delivered nahi hua 17ko hona tha abhi tk nahi hua,Other Account Related Issues,ACCOUNT_LOGIN_PROBLEM
Who is buys your products much more you need to give him /her extra discount for till now much to buy in your Shopzilla app,,Who is buys your products much more you need to give him /her extra discount for till now much to buy in your Shopzilla app,Delayed,DELIVERY_SHIPPING_PROBLEM
Give executive access to what happened in the app regarding the product,,Give executive access to what happened in the app regarding the product,Return request,REFUND_REQUEST
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Mam voice so cute... ??,,Mam voice so cute... ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Improve delivery part, my fridge has still not been delivered, the call executive are good but nothing happening at ground level",,"Improve delivery part, my fridge has still not been delivered, the call executive are good but nothing happening at ground level",UnProfessional Behaviour,SERVICE_QUALITY
Iam not happy,,Iam not happy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Why my refund still not received in my bank account?,,Why my refund still not received in my bank account?,Refund Enquiry,REFUND_REQUEST
Good service,,Good service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very better,,Very better,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Very good response has been given, my sati has been solved, I liked it very much, I am very happy",,"Very good response has been given, my sati has been solved, I liked it very much, I am very happy",Product Specific Information,PRODUCT_ISSUE
Thanks   for your help. You have been amazing. Cheers for day.??????,,Thanks for your help. You have been amazing. Cheers for day.??????,Return request,REFUND_REQUEST
Good support,,Good support,Wrong,PRODUCT_ISSUE
Issue resolved,,Issue resolved,Invoice request,BILLING_PROBLEM
Poor service,,Poor service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
The guy is so cool.. Liked his communication,,The guy is so cool.. Liked his communication,Return request,REFUND_REQUEST
Naic,,Naic,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
"She thought customer have no their Own mindset, she tried to make a fool, not done any discussion on solution",,"She thought customer have no their Own mindset, she tried to make a fool, not done any discussion on solution",Order status enquiry,DELIVERY_SHIPPING_PROBLEM
It's well service by Shopzilla,,It's well service by Shopzilla,Return request,REFUND_REQUEST
Update things fastly,,Update things fastly,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Normal,,Normal,General Enquiry,OTHER
Hapy,,Hapy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Customer executive talk was good and happy to resolve my issue,,Customer executive talk was good and happy to resolve my issue,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Executive person was very helpful and coordinative.,,Executive person was very helpful and coordinative.,Delayed,DELIVERY_SHIPPING_PROBLEM
This customer support   is very nice so I am satisfy Lucent bahut acche tarike se samjhaya thanku,,This customer support is very nice so I am satisfy Lucent bahut acche tarike se samjhaya thanku,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good,,Very good,Other Cashback,PAYMENT_TRANSACTION_ISSUE
Do yours promise,,Do yours promise,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
"Check courier service's efficiency by measuring their successfull deliveries. If they are not performing good, figure out new service parter otherwise customer is not going to wait for good service",,"Check courier service's efficiency by measuring their successfull deliveries. If they are not performing good, figure out new service parter otherwise customer is not going to wait for good service",Missing,PRODUCT_ISSUE
Nothing,,Nothing,Missing,PRODUCT_ISSUE
Good,,Good,Installation/demo,PRODUCT_ISSUE
Great to talking with me and understand my pov... And resolve my problem it's great ??,,Great to talking with me and understand my pov... And resolve my problem it's great ??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
"The voice connectivity was extremely poor with a lot of echo, automatic repeat of words, digital disturbance noises & jitters.",,"The voice connectivity was extremely poor with a lot of echo, automatic repeat of words, digital disturbance noises & jitters.",Payment related Queries,PAYMENT_TRANSACTION_ISSUE
Your company and customer care support or excellent,,Your company and customer care support or excellent,Return request,REFUND_REQUEST
Thank,,Thank,Refund Enquiry,REFUND_REQUEST
I received someone's used order how pathetic is this,,I received someone's used order how pathetic is this,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Don't give false expected delivery date if you can't deliver product,,Don't give false expected delivery date if you can't deliver product,Not Needed,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Customer care executive is very good. It has helped me a lot,,Customer care executive is very good. It has helped me a lot,Return request,REFUND_REQUEST
Support very good,,Support very good,COD Refund Details,REFUND_REQUEST
Please be care of u r coustomer they didn't respond well i will speak with u plz make call,,Please be care of u r coustomer they didn't respond well i will speak with u plz make call,Exchange / Replacement,PRODUCT_ISSUE
No proper information available.,,No proper information available.,Delayed,DELIVERY_SHIPPING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Refund Related Issues,REFUND_REQUEST
Thanks,,Thanks,Installation/demo,PRODUCT_ISSUE
Apse baat,,Apse baat,UnProfessional Behaviour,SERVICE_QUALITY
Delivery agent behaviour should be good towards coustmer.,,Delivery agent behaviour should be good towards coustmer.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
good girl,,good girl,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Consultant not able to collect any information about my order from near my Shopzilla hub,,Consultant not able to collect any information about my order from near my Shopzilla hub,Delayed,DELIVERY_SHIPPING_PROBLEM
I am happy,,I am happy,Return request,REFUND_REQUEST
this is amazing,,this is amazing,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thankyu,,Thankyu,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Minor error in service of Shopzilla nothing else... ...we love your service Shopzilla ....thnk u,,Minor error in service of Shopzilla nothing else... ...we love your service Shopzilla ....thnk u,Delayed,DELIVERY_SHIPPING_PROBLEM
No,,No,Product related Issues,PRODUCT_ISSUE
ka Samadhan hogya,,ka Samadhan hogya,Product Specific Information,PRODUCT_ISSUE
Customer executive kept my call on hold nd he didn't retanter,,Customer executive kept my call on hold nd he didn't retanter,Product Specific Information,PRODUCT_ISSUE
My issue not resolved,,My issue not resolved,Not Needed,REFUND_REQUEST
"He was helpful, ????",,"He was helpful, ????",Product Specific Information,PRODUCT_ISSUE
was excellent but the time to connect should be less else everything is good,,was excellent but the time to connect should be less else everything is good,Wrong,PRODUCT_ISSUE
